age;familysize;gender;married;race;religion;Q1A;Q2A;Q3A;Q4A;Q5A;Q6A;Q7A;Q8A;Q9A;Q10A
7;0;0;0;1;0;1;2;2;2;3;2;1;3;1;4
8;0;0;0;2;0;1;2;2;2;2;2;0;3;1;2
24;0;0;0;4;3;0;0;4;2;3;2;0;0;1;1
6;1;0;0;5;0;0;0;4;2;3;2;0;1;1;1
3;2;0;0;0;1;1;3;3;2;3;2;0;3;2;4
14;3;0;0;4;1;1;1;3;2;1;2;1;3;3;3
3;1;0;0;0;0;0;1;0;3;0;2;0;1;1;2
3;2;0;0;0;2;1;2;0;3;2;2;1;0;0;3
9;0;0;0;2;0;0;3;1;3;4;2;0;0;1;2
11;3;0;0;1;1;1;3;0;3;3;2;0;1;3;2
7;2;0;0;0;1;0;0;3;3;4;2;1;0;1;1
22;0;0;0;2;0;0;1;4;3;4;2;0;1;1;0
18;2;0;0;0;0;1;1;3;3;3;2;0;2;1;2
12;0;0;0;2;3;0;2;3;3;3;2;0;0;2;2
1;2;0;0;0;1;1;2;4;3;3;2;1;3;1;3
39;2;0;0;4;1;1;3;3;3;2;2;1;1;3;3
5;2;0;0;2;2;1;2;3;3;4;2;0;3;1;2
10;2;0;0;0;0;1;3;4;3;1;2;1;3;3;0
8;1;0;0;0;0;1;3;1;4;1;2;0;0;1;0
3;2;0;0;4;1;0;0;2;4;4;2;1;0;1;2
1;2;0;0;0;2;1;1;4;4;4;2;1;1;1;2
5;0;0;0;0;1;1;1;3;4;1;2;1;1;1;1
2;0;0;0;0;0;1;1;3;4;1;2;0;0;1;0
26;1;0;0;2;3;0;1;3;4;3;2;1;1;1;1
19;0;0;0;2;0;1;2;3;4;4;2;0;0;1;1
8;0;0;0;2;3;0;2;4;4;4;2;0;3;2;2
11;2;0;0;1;1;1;0;1;0;4;3;1;1;3;2
24;2;0;0;2;0;1;0;1;0;1;3;1;0;3;3
6;2;0;0;0;2;1;2;1;0;2;3;1;3;3;2
11;0;0;0;0;0;0;4;1;0;4;3;1;1;4;2
18;3;0;0;2;0;0;3;0;0;2;3;0;2;3;0
12;3;0;0;0;0;0;3;1;0;2;3;0;3;3;2
15;2;0;0;0;1;0;4;0;0;2;3;0;2;0;0
13;2;0;0;2;1;1;4;0;0;2;3;1;2;0;3
4;2;0;0;2;0;1;4;0;0;1;3;0;4;1;0
4;2;0;0;2;0;1;2;2;0;4;3;1;0;3;1
20;2;0;0;2;0;1;1;3;0;1;3;0;0;1;2
7;2;0;0;0;0;0;0;4;0;0;3;0;3;1;1
5;0;0;0;2;0;1;1;3;0;2;3;0;2;3;0
12;2;0;0;0;2;1;2;3;0;2;3;1;0;1;0
20;1;0;0;0;0;1;3;3;0;3;3;1;3;1;2
11;0;0;0;1;1;1;0;0;0;3;4;1;1;1;2
6;0;0;0;0;0;0;0;1;0;2;4;0;2;2;3
6;1;0;0;2;0;1;0;0;0;3;4;0;3;4;0
10;1;0;0;0;1;0;4;0;0;2;4;0;4;1;1
4;2;0;0;2;1;1;2;2;0;3;4;1;1;1;2
20;0;0;0;4;0;0;0;4;0;0;4;1;0;1;1
2;3;0;0;0;0;0;0;3;0;3;4;0;1;1;1
10;0;0;0;2;1;1;3;3;0;0;4;1;3;1;2
11;0;0;0;2;1;1;1;1;1;4;3;1;1;3;3
2;2;0;0;4;0;0;1;1;1;4;3;1;3;1;1
18;0;0;0;2;1;0;3;0;1;4;3;0;0;1;2
26;2;0;0;2;1;0;3;1;1;4;3;1;1;1;1
10;0;0;0;0;1;0;3;1;1;4;3;1;2;3;2
8;2;0;0;0;0;1;3;0;1;4;3;0;2;1;2
20;2;0;0;0;1;1;1;2;1;1;3;1;0;1;1
6;2;0;0;1;0;1;0;2;1;1;3;0;4;3;2
6;0;0;0;0;0;1;1;2;1;1;3;1;4;1;2
3;2;0;0;0;0;1;1;2;1;0;3;1;2;1;4
11;0;0;0;1;0;1;3;2;1;3;3;0;0;3;4
1;2;0;0;0;1;1;0;3;1;4;3;1;0;1;4
9;0;0;0;2;0;1;3;3;1;3;3;0;1;3;2
30;2;0;0;4;1;0;0;1;1;3;4;0;1;1;1
14;0;0;0;2;1;1;2;1;1;3;4;1;3;1;1
20;2;0;0;1;0;1;1;4;1;3;4;1;1;1;3
20;2;0;0;0;0;1;0;4;1;2;4;1;2;4;0
7;0;0;0;2;0;1;4;3;1;4;4;0;4;1;4
10;2;0;0;2;0;1;3;3;1;2;4;0;3;1;3
15;0;0;0;2;0;0;1;0;2;3;3;1;0;1;2
12;1;0;0;3;0;1;1;0;2;3;3;0;1;2;2
2;0;0;0;4;0;1;1;1;2;4;3;1;3;1;1
39;0;0;0;2;0;0;2;1;2;0;3;0;1;1;2
12;0;0;0;0;0;0;2;0;2;3;3;1;0;1;1
6;0;0;0;2;0;0;2;1;2;3;3;0;1;3;2
7;0;0;0;2;1;1;3;1;2;2;3;1;3;3;2
26;0;0;0;2;1;0;0;0;2;1;3;1;3;1;2
26;1;0;0;0;1;0;1;2;2;3;3;1;4;3;3
21;0;0;0;0;0;0;3;2;2;4;3;0;1;3;4
6;2;0;0;0;0;1;0;4;2;1;3;1;1;1;2
16;2;0;0;0;1;1;1;3;2;3;3;1;3;3;2
11;1;0;0;0;1;1;1;3;2;3;3;0;3;1;2
4;2;0;0;0;1;1;4;4;2;3;3;1;0;3;1
32;1;0;0;0;0;1;3;3;2;4;3;1;4;1;2
20;0;0;0;4;1;0;0;0;2;4;4;1;2;1;1
4;0;0;0;0;1;1;1;2;2;3;4;0;3;1;0
4;2;0;0;1;1;0;3;2;2;3;4;1;3;1;1
10;1;0;0;0;0;1;1;4;2;1;4;0;0;1;2
7;0;0;0;1;0;1;3;3;2;4;4;1;3;3;2
21;0;0;0;0;0;0;0;0;3;0;3;0;0;1;1
9;2;0;0;2;0;0;1;0;3;4;3;0;0;1;2
2;0;0;0;0;1;0;1;1;3;4;3;1;1;1;2
26;0;0;0;0;0;1;1;1;3;1;3;1;1;3;2
12;0;0;0;0;0;0;1;1;3;3;3;1;3;3;2
26;1;0;0;0;1;1;2;1;3;4;3;0;0;3;3
19;2;0;0;2;1;0;4;0;3;2;3;0;0;1;2
